"AIRPORT_SEQ_ID","AIRPORT_ID","AIRPORT","DISPLAY_AIRPORT_NAME","DISPLAY_AIRPORT_CITY_NAME_FULL","AIRPORT_COUNTRY_NAME","AIRPORT_STATE_NAME","AIRPORT_STATE_FIPS","CITY_MARKET_ID","DISPLAY_CITY_MARKET_NAME_FULL","LATITUDE","LONGITUDE","AIRPORT_IS_LATEST",
1620101,16201,"YTA","Pembroke Airport","Pembroke, Canada","Canada","Ontario","",36201,"Pembroke, Canada",45.86166667,-77.24944444,0,
1620102,16201,"YTA","Pembroke Airport","Pembroke, Canada","Canada","Ontario","",36201,"Pembroke, Canada",45.86444444,-77.25166667,0,
1620103,16201,"YTA","Pembroke Airport","Pembroke, Canada","Canada","Ontario","",36201,"Pembroke, Canada",45.86444444,-77.25138889,1,
1620201,16202,"YTE","Cape Dorset Airport","Cape Dorset, Canada","Canada","Northwest Territories","",36202,"Cape Dorset, Canada",64.23000000,-76.52666667,0,
1620202,16202,"YTE","Cape Dorset Airport","Cape Dorset, Canada","Canada","Nunavut Territory","",36202,"Cape Dorset, Canada",64.23000000,-76.52666667,0,
1620203,16202,"YTE","Cape Dorset Airport","Cape Dorset, Canada","Canada","Nunavut Territory","",36202,"Cape Dorset, Canada",64.23027778,-76.52472222,1,
1620301,16203,"YTF","Chesterfield Inlet","Alma, Canada","Canada","Quebec","",36203,"Alma, Canada",48.50888889,-71.64194444,1,
1620401,16204,"YTG","Sullivan Bay Water Aerodrome","Sullivan Bay, Canada","Canada","British Columbia","",36204,"Sullivan Bay, Canada",50.88333333,-126.80000000,1,
1620501,16205,"YTH","Thompson Airport","Thompson, Canada","Canada","Manitoba","",36205,"Thompson, Canada",55.80333333,-97.86250000,0,
1620502,16205,"YTH","Thompson Airport","Thompson, Canada","Canada","Manitoba","",36205,"Thompson, Canada",55.80472222,-97.86250000,1,
1620601,16206,"YTJ","Terrace Bay Airport","Terrace Bay, Canada","Canada","Ontario","",36206,"Terrace Bay, Canada",48.81333333,-87.09944444,1,
1620701,16207,"YTL","Big Trout Lake Airport","Big Trout Lake, Canada","Canada","Ontario","",36207,"Big Trout Lake, Canada",53.81722222,-89.89583333,0,
1620702,16207,"YTL","Big Trout Lake Airport","Big Trout Lake, Canada","Canada","Ontario","",36207,"Big Trout Lake, Canada",53.81777778,-89.89694444,1,
1620801,16208,"YTM","Mont-Tremblant International","La Macaza, Canada","Canada","Quebec","",36208,"La Macaza, Canada",46.41250000,-74.77944444,0,
1620802,16208,"YTM","Mont-Tremblant International","La Macaza, Canada","Canada","Quebec","",36208,"La Macaza, Canada",46.40944444,-74.78000000,0,
1620803,16208,"YTM","Mont-Tremblant International","La Macaza, Canada","Canada","Quebec","",36208,"La Macaza, Canada",46.40916667,-74.78000000,1,
1620901,16209,"YTN","Riviere Au Tonnerre","Riviere-au-Tonnerre, Canada","Canada","Quebec","",36209,"Riviere-au-Tonnerre, Canada",50.28333333,-64.75000000,1,
1621001,16210,"YTO","Toronto Metropolitan Area","Toronto, Canada","Canada","Ontario","",36106,"Toronto, Canada",43.74416667,-79.38305556,1,
1621101,16211,"YTP","Tofino Seaplane Base","Tofino, Canada","Canada","British Columbia","",35999,"Tofino, Canada",49.15000000,-125.40000000,1,
1621201,16212,"YTQ","Tasiujaq","Tasiujuaq, Canada","Canada","Quebec","",36212,"Tasiujuaq, Canada",58.66777778,-69.95583333,1,
1621301,16213,"YTR","Trenton Airport","Trenton, Canada","Canada","Ontario","",36213,"Trenton, Canada",44.11888889,-77.52805556,1,
1621401,16214,"YTS","Timmins Airport","Timmins, Canada","Canada","Ontario","",36214,"Timmins, Canada",48.56666667,-81.36666667,0,
1621402,16214,"YTS","Timmins Airport","Timmins, Canada","Canada","Ontario","",36214,"Timmins, Canada",48.56972222,-81.37666667,0,
1621403,16214,"YTS","Timmins Airport","Timmins, Canada","Canada","Ontario","",36214,"Timmins, Canada",48.57055556,-81.37666667,1,
1621501,16215,"YTZ","Toronto Island","Toronto, Canada","Canada","Ontario","",36106,"Toronto, Canada",43.62694444,-79.39611111,0,
1621502,16215,"YTZ","Billy Bishop Toronto City","Toronto, Canada","Canada","Ontario","",36106,"Toronto, Canada",43.62750000,-79.39611111,1,
1621601,16216,"YUB","Tuktoyaktuk Airport","Tuktoyaktuk, Canada","Canada","Northwest Territories","",36216,"Tuktoyaktuk, Canada",69.43638889,-133.02500000,0,
1621602,16216,"YUB","Tuktoyaktuk Airport","Tuktoyaktuk, Canada","Canada","Northwest Territories","",36216,"Tuktoyaktuk, Canada",69.43333333,-133.02638889,1,
1621701,16217,"YUL","Pierre Elliott Trudeau International","Montreal, Canada","Canada","Quebec","",36083,"Montreal, Canada",45.46805556,-73.74138889,0,
1621702,16217,"YUL","Pierre Elliott Trudeau International","Montreal, Canada","Canada","Quebec","",36083,"Montreal, Canada",45.47055556,-73.74083333,1,
1621801,16218,"YUM","Yuma MCAS/Yuma International","Yuma, AZ","United States","Arizona","04",33785,"Yuma, AZ",32.65666667,-114.60583333,1,
1621901,16219,"YUT","Repulse Bay Airport","Repulse Bay, Canada","Canada","Northwest Territories","",36219,"Repulse Bay, Canada",66.52138889,-86.22472222,0,
